book_links,book_title,book_author,book_prices,book_img_urls
https://diwanegypt.com/product/%d8%a7%d9%84%d9%85%d8%a8%d8%a7%d8%af%d8%a6-%d8%a7%d9%84%d8%ae%d9%85%d8%b3%d8%a9-%d9%84%d8%aa%d8%b1%d8%a8%d9%8a%d8%a9-%d8%ac%d9%8a%d9%84-%d9%86%d8%a7%d8%ac%d8%ad/,المبادئ الخمسة لتربية جيل ناجح,إيستر وجسيكي,EGP120.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776972278-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%ad%d8%a8-%d8%a7%d9%84%d9%85%d9%87%d8%af%d8%af/,الحب المهدد,ليزلي بيكر-فيلبس,EGP110.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776972124-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%88%d8%b1%d8%a7%d8%a1-%d8%b9%d9%8a%d9%86%d9%8a%d9%87%d8%a7/,وراء عينيها,سارا بينبرو,EGP190.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776972032-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%86%d8%b8%d8%b1%d9%8a%d8%a9-%d8%a7%d9%84%d8%b7%d9%8a%d8%b1%d8%a7%d9%86/,نظرية الطيران,سيبيواي جلوريا إندلوفو,EGP145.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776902985-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b5%d8%a7%d8%a6%d8%af-%d8%a7%d9%84%d8%a3%d9%81%d9%83%d8%a7%d8%b1/,صائد الأفكار,جون دوجلاس و مارك أولشاكر,EGP200.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776902831-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b3%d8%a3%d9%83%d9%88%d9%86-%d8%a8%d8%ae%d9%8a%d8%b1/,سأكون بخير,نينا لاكور,EGP130.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776902794-450x600.jpg
,,,,
